probe,width_px,mae_mm
cyl4,8,0.19741214747247604
cyl4,16,0.19741214747247604
cyl4,32,0.1281135015586322
cyl4,48,0.0620852462411105
cyl4,80,0.048094093944741984
cyl4,160,0.047647390659763145
cyl4,320,0.048788252245499396
cyl4,426,0.05046725794216442
cyl4,640,0.0514464419465071
cyl4,854,0.05166228103882986
cyl4,1280,0.0520557656838541
cyl4,1920,0.0523606818123703
cube4,8,0.13192152765175713
cube4,16,0.13289812318044703
cube4,32,0.13311242247145344
cube4,48,0.09843790715165468
cube4,80,0.05913948544224823
cube4,160,0.05694815234204854
cube4,320,0.05843339329819605
cube4,426,0.05901524638991282
cube4,640,0.05961225458344546
cube4,854,0.06019212519984171
cube4,1280,0.06008432647447511
cube4,1920,0.05813432326774523
