sensor,scale_source,downscale,px_per_mm,zero_shift_mm,zero_shift_source,grey_levels_used,mm_per_grey_level,ball_deepest_mm,cyl4_raw_bias,cyl4_raw_mae,cyl4_raw_bias_deep,cyl4_raw_mae_deep,cyl4_raw_slope,cyl4_raw_rms_after_linear,cyl4_raw_size,cyl4_raw_size_err,cyl4_raw_flat,cyl4_corrected_bias,cyl4_corrected_mae,cyl4_corrected_bias_deep,cyl4_corrected_mae_deep,cyl4_corrected_slope,cyl4_corrected_rms_after_linear,cyl4_corrected_size,cyl4_corrected_size_err,cyl4_corrected_flat,cube4_raw_bias,cube4_raw_mae,cube4_raw_bias_deep,cube4_raw_mae_deep,cube4_raw_slope,cube4_raw_rms_after_linear,cube4_raw_size,cube4_raw_size_err,cube4_raw_flat,cube4_raw_squareness,cube4_raw_angle_deg,cube4_corrected_bias,cube4_corrected_mae,cube4_corrected_bias_deep,cube4_corrected_mae_deep,cube4_corrected_slope,cube4_corrected_rms_after_linear,cube4_corrected_size,cube4_corrected_size_err,cube4_corrected_flat,cube4_corrected_squareness,cube4_corrected_angle_deg,width_px,height_px,error
hard_1mm_r1,own,1.0,93.82314012650215,0.1359381356364863,own,18,0.0398988859036926,0.7181799462664671,-0.0937922255514733,0.0937922255514733,-0.1006807650152241,0.1006807650152241,0.9050226778931014,0.0159030776769015,3.936548716836816,-0.0634512831631846,0.0247407950874831,-0.025462790709602,0.0277543396006877,-0.0143902974847351,0.0178276208213636,1.0421240466909876,0.0207871850644425,4.08029244892718,0.0802924489271799,0.0248899786836571,-0.1640959752529204,0.1640959752529204,-0.1861351309151597,0.1861351309151597,0.8414589468737684,0.0269477978283202,4.133167443846698,0.1331674438466983,0.0312042888253927,0.8991520075762548,79.55217742919922,-0.108747843447262,0.108747843447262,-0.1076699970097489,0.1076699970097489,1.0374715609092189,0.0229879826918938,4.270411228755135,0.270411228755135,0.032521237929662,0.91736934982301,79.90647888183594,1920,1080,
hard_1mm_r1,own,1.5,62.54876008433481,0.1359381356364863,own,17,0.0422458791921451,0.7181799462664671,-0.0798688493737252,0.0798688493737252,-0.0809607247534787,0.0809607247534787,0.9578350318962936,0.0163495596853212,3.9660313744050657,-0.0339686255949343,0.021980462802781,-0.0074702960817686,0.0215148613936544,0.0083385082559391,0.0127283397118895,1.0862912783983565,0.0212039832967115,4.123602838734197,0.1236028387341967,0.0220032139784759,-0.1548807495156889,0.1548807495156889,-0.1720653483451552,0.1720653483451552,0.8920603647738786,0.0281760681762571,4.120994838663267,0.1209948386632673,0.0281325230995814,0.9022381769960224,77.36663818359375,-0.0959535173489367,0.0959535173489367,-0.0890487050445027,0.0890487050445027,1.0890684251641278,0.0217154614286714,4.254815201186066,0.2548152011860658,0.028681735197703,0.9140742464825186,77.19573211669922,1280,720,
hard_1mm_r1,own,2.249121608399084,41.715458949009474,0.1359381356364863,own,17,0.0422458791921451,0.7181799462664671,-0.0689050356615257,0.0689050356615257,-0.0666716833932593,0.0666716833932593,0.9888560249210768,0.0160904376809482,3.982004286243578,-0.0179957137564219,0.0202168595666686,0.007906610553264,0.0262748283267827,0.0256360791600351,0.0256360791600351,1.1075016345719313,0.0209220558863637,4.149534601639939,0.1495346016399388,0.0202173616530166,-0.1466677284993196,0.1466677284993196,-0.159655312988276,0.159655312988276,0.933170887703872,0.0288328458100069,4.0859801494477495,0.0859801494477494,0.0265048009653886,0.9052186580934808,77.90524291992188,-0.0839811485764846,0.0839811485764846,-0.0721709010930009,0.0721709010930009,1.1306233894046314,0.0201787237339194,4.252671669964154,0.2526716699641538,0.0266886483877897,0.9212629387597598,78.48616790771484,854,480,
hard_1mm_r1,own,3.0,31.274380042167376,0.1359381356364863,own,17,0.0422458791921451,0.7181799462664671,-0.0666081417006259,0.0666081417006259,-0.0627611443423624,0.0627611443423624,1.0041390388743232,0.0161101213599888,3.9746266238656167,-0.0253733761343832,0.019549313518736,0.0160610143854877,0.0304094110880082,0.0344290730830634,0.0344290730830634,1.1162993528549598,0.0209429947700122,4.152766001129075,0.1527660011290752,0.0195493073099189,-0.1442859217330158,0.1442859217330158,-0.1554196430177636,0.1554196430177636,0.9507137252444848,0.0295604976039165,4.04300400766293,0.0430040076629296,0.025723914305369,0.9054592417184212,78.36637115478516,-0.0763757042470043,0.0763757042470043,-0.0618391884298272,0.0618391884298272,1.1515744352843025,0.0183096335254717,4.228225634465924,0.2282256344659243,0.0257820437351862,0.9246437384802536,78.69007110595703,640,360,
hard_1mm_r1,own,4.503519750244809,20.83329158740826,0.1359381356364863,own,17,0.0422458791921451,0.7181799462664671,-0.0546836082167432,0.0546836082167432,-0.0484074667119379,0.0484074667119379,1.0299105285414552,0.0154344719469975,3.974467306492863,-0.0255326935071371,0.0196828699360291,0.0352854358171086,0.0411175962281503,0.0537898612495864,0.0537898612495864,1.12682216084766,0.0198769634404967,4.15888832215151,0.15888832215151,0.0196828738682799,-0.1348778147444094,0.1348778147444094,-0.1416112566174216,0.1416112566174216,0.98645373487618,0.0277541314414467,4.006461885587844,0.0064618855878437,0.0255583096295595,0.9057880632146432,77.7352294921875,-0.0607689700438296,0.0607689700438296,-0.0411690724821038,0.0411690724821038,1.1881758245082374,0.0145018298156225,4.224785138006344,0.2247851380063439,0.025559265166521,0.9277729902055606,78.69007110595703,426,240,
hard_1mm_r1,own,6.0,15.637190021083686,0.1359381356364863,own,17,0.0422458791921451,0.7181799462664671,-0.0519922038401503,0.0519922038401503,-0.0444095745705957,0.0444095745705957,1.0377988635734403,0.0167585854495872,3.952545455657028,-0.0474545443429721,0.0189267417622937,0.0408045204495053,0.0461265582330057,0.0604011811292772,0.0604011811292772,1.1332075388685745,0.0212441271855676,4.135342379227222,0.1353423792272217,0.0189267398996485,-0.1311268617262874,0.1311268617262874,-0.1375943785340733,0.1375943785340733,0.9844554317683648,0.0281864261226841,3.9966848787575593,-0.0033151212424407,0.0245668062319358,0.9126313363492096,77.47119140625,-0.056054729490972,0.056054729490972,-0.034226681086535,0.034226681086535,1.2027401247946294,0.0131270150537325,4.192864590600727,0.1928645906007267,0.0245668689409891,0.9256369679872588,78.11134338378906,320,180,
hard_1mm_r1,own,12.0,7.818595010541846,0.1359381356364863,own,16,0.0448862466416541,0.7181799462664671,-0.0380478594520362,0.0380478594520362,-0.028664375595589,0.028664375595589,1.058388764164555,0.0150448074816102,3.814988577535492,-0.1850114224645085,0.0173636860110693,0.0561534739548624,0.0580744989469015,0.0777901805914049,0.0777901805914049,1.1585375380583045,0.0206046063434011,3.995859537651452,-0.0041404623485479,0.0173636885980765,-0.1162490391366149,0.1162490391366149,-0.1175592979223676,0.1175592979223676,1.0284621376761278,0.024828943863851,3.897541767396721,-0.1024582326032788,0.0165495503072937,0.901874451274462,78.69007110595703,-0.0367460256946549,0.0425394734745297,-0.0118048628599591,0.0204950345297714,1.2278218065546156,0.0122322578260251,4.091738244581873,0.0917382445818733,0.016549569244186,0.9140192408464868,78.69007110595703,160,90,
hard_1mm_r1,own,24.0,3.909297505270923,0.1359381356364863,own,16,0.0448862466416541,0.7181799462664671,-0.0370964563209486,0.0370964563209486,-0.0328704953216905,0.0328704953216905,0.9921146477894324,0.0153723792608429,3.503659217691172,-0.4963407823088284,0.0148951048031449,0.0477759339261049,0.0492520110945303,0.0631221257126932,0.0631221257126932,1.0835591535277718,0.0226842322325217,3.7012830099292326,-0.2987169900707673,0.0149772192041079,-0.1159738221399451,0.1159738221399451,-0.1201434610218949,0.1201434610218949,0.9818640974893326,0.0168470647049637,3.666472892893836,-0.3335271071061645,0.0131582953035831,0.953968253968254,90.0,-0.0453839755189881,0.0453839755189881,-0.0247459960908837,0.0247459960908837,1.1679187672411495,0.0121377616162608,3.8370065158191298,-0.1629934841808702,0.0132249447827537,0.9569444444444444,90.0,80,45,
hard_1mm_r1,own,40.0,2.345578503162554,0.1359381356364863,own,15,0.0478786630844311,0.7181799462664671,-0.1299640523958874,0.1299640523958874,-0.1580817751609678,0.1580817751609678,0.7093271914751912,0.0106617796134485,3.411146416102588,-0.588853583897412,0.0231241188529464,-0.0734224472677051,0.0734224472677051,-0.0869617116971209,0.0869617116971209,0.8248233450984146,0.0146649351243433,3.4478017716280798,-0.5521982283719207,0.0264894295897748,-0.1780693102511232,0.1780693102511232,-0.2103482158662028,0.2103482158662028,0.7320745656025264,0.0195715726623201,3.5527838109436387,-0.4472161890563613,0.0205741723378499,0.925925925925926,90.0,-0.1349871468923951,0.1349871468923951,-0.1436828179092355,0.1436828179092355,0.9378744108553296,0.0081995129112187,3.6009360773058443,-0.3990639226941557,0.0243351000050703,0.9373219107203772,90.0,48,27,
hard_1mm_r1,own,60.0,1.5637190021083691,0.1359381356364863,own,14,0.0512985675904619,0.7181799462664671,-0.2050192685245148,0.2050192685245148,-0.2614093915893034,0.2614093915893034,0.4287338489926478,0.0069318244467798,3.7720557270132127,-0.2279442729867873,0.0133136935118171,-0.179734506295417,0.179734506295417,-0.2224307671212549,0.2224307671212549,0.5644547876545774,0.0105811807383648,3.381849547165137,-0.6181504528348629,0.0188287258562114,-0.2311089116342331,0.2311089116342331,-0.2857207776786037,0.2857207776786037,0.4695351309509485,0.0100600506104127,3.83922493889978,-0.1607750611002196,0.0132071608677506,0.962962968513166,90.0,-0.2174899950506752,0.2174899950506752,-0.251719555798287,0.251719555798287,0.6701878080898653,0.0102745716531839,3.517255972834203,-0.482744027165797,0.0182691638668378,0.9444444444444444,90.0,32,18,
hard_1mm_r1,own,120.0,0.7818595010541846,0.1359381356364863,own,11,0.0652890860242242,0.7181799462664671,-0.3218665760880673,0.3218665760880673,-0.4084332889551255,0.4084332889551255,0.1353240841684964,0.0037408910367776,,,0.0,-0.2842552519678578,0.2842552519678578,-0.3688821127661462,0.3688821127661462,0.1595741590512142,0.0074895617325968,6.807033119150467,2.807033119150467,0.0,-0.3250211103081669,0.3250211103081669,-0.4091201007639267,0.4091201007639267,0.1726075980710413,0.0066840372482929,,,0.0,,,-0.2873583524371152,0.2873583524371152,-0.3708915049017616,0.3708915049017616,0.1928204554292914,0.0114377849904097,6.821344917011786,2.8213449170117864,0.0,1.0,90.0,16,9,
hard_1mm_r1,own,227.6839915321233,0.4120761389290072,0.1359381356364863,own,3,0.2393933154221557,0.7181799462664671,-0.5096259926410522,0.5096259926410522,-0.6100341183467105,0.6100341183467105,1.4139144830954183e-16,2.9979448083323847e-17,,,0.0,-0.5096259926410522,0.5096259926410522,-0.6100341183467105,0.6100341183467105,1.4139144830954183e-16,2.9979448083323847e-17,,,0.0,-0.5143516367805466,0.5143516367805466,-0.6142390435368963,0.6142390435368963,-1.213508267616529e-16,4.939140879637368e-17,,,0.0,,,-0.5143516367805466,0.5143516367805466,-0.6142390435368963,0.6142390435368963,-1.213508267616529e-16,4.939140879637368e-17,,,0.0,,,8,5,
hard_2mm_r1,own,1.0,83.65845408788799,0.2858754465455071,own,19,0.0458644514671512,0.8714245778758745,-0.1282231596685247,0.1282231596685247,-0.1382859212560925,0.1382859212560925,0.9277236136138858,0.0189182756578348,3.799345571331698,-0.2006544286683018,0.0299690109160211,-0.0424352464756332,0.0523541002159415,-0.0124640514357361,0.0273423320461985,1.2702835663961172,0.024140555954248,3.927404110521121,-0.0725958894788791,0.0338095656285683,-0.1053855465301681,0.1053855465301681,-0.1032963460022679,0.1032963460022679,0.9942159775074464,0.0242730070259209,4.53159681720954,0.5315968172095404,0.0266111131447056,0.9946475484637878,73.3007583618164,-0.0141955577868871,0.0624710770180237,0.0292088548010119,0.043204424045693,1.3281816340798285,0.0413312319578979,4.708301516830159,0.7083015168301587,0.0281741533738871,0.987558747092776,80.17227935791016,1920,1080,
hard_2mm_r1,own,1.5,55.77230272525864,0.2858754465455071,own,18,0.0484124765486596,0.8714245778758745,-0.1129866588109198,0.1129866588109198,-0.115913789709754,0.115913789709754,1.003609913716131,0.0227808707458767,3.779852671349348,-0.2201473286506519,0.0273585549245278,-0.0220711910138656,0.0604315846283826,0.0157125654415813,0.0418280249801942,1.3417002553703818,0.0278035847171023,3.941410164190773,-0.0585898358092271,0.0294127682637837,-0.0918558312370034,0.0918558312370034,-0.0833403682047597,0.0833403682047597,1.04472337843797,0.0310001248167297,4.483142426927516,0.4831424269275155,0.0243802557233721,0.98776913490672,79.33021545410156,0.0037928790296835,0.0699130314336257,0.0542439082926043,0.0563149574023596,1.3723725259110011,0.0484506823491113,4.706554761151811,0.7065547611518106,0.0247965183419485,0.9919308990621264,82.73676300048828,1280,720,
hard_2mm_r1,own,2.249121608399084,37.196056351722014,0.2858754465455071,own,18,0.0484124765486596,0.8714245778758745,-0.104498497580253,0.104498497580253,-0.1042923964464141,0.1042923964464141,1.027091075057621,0.0266993562699648,3.772189810929981,-0.227810189070019,0.0254050722190489,-0.0154349276251391,0.0648725365138312,0.0265880624549117,0.0475683508781263,1.365598688364634,0.0336339732965195,3.945806865360126,-0.054193134639874,0.0264355490087635,-0.0838358093619249,0.0838358093619249,-0.0721823749775163,0.0721823749775163,1.0583884986169083,0.0382249155250679,4.4388778161963565,0.4388778161963564,0.0222200674470514,0.9923261536905588,86.3086166381836,0.0104709216913926,0.0752952063010159,0.0643245959943064,0.0643245959943064,1.3789118568212777,0.0564304394786998,4.6675231519511655,0.6675231519511655,0.0222798514878377,0.9944816327523164,81.25383758544922,854,480,
hard_2mm_r1,own,3.0,27.88615136262933,0.2858754465455071,own,17,0.0512602692868161,0.8714245778758745,-0.1015782621765431,0.1015782621765431,-0.0988883767181111,0.0988883767181111,1.05431965263591,0.0269345646676793,3.74720720865542,-0.25279279134458,0.0254045322589162,-0.0069993555415136,0.0687229817686405,0.0373823332385745,0.0552031061021158,1.387677232421924,0.0339208919419942,3.942535712233171,-0.0574642877668289,0.0259965883386838,-0.0803325991013921,0.0803325991013921,-0.0667412345940343,0.0667412345940343,1.0769165575702258,0.0405922240073966,4.39390367331593,0.39390367331593,0.0236621539418896,0.9881165574288248,90.0,0.0190257095320868,0.081402584896835,0.0753212208216913,0.0753212208216913,1.39677658069873,0.0585223406930422,4.616301988829052,0.6163019888290515,0.0236814357340335,0.994736202570761,81.46923065185547,640,360,
