axis,width_px,mae
Fx,8,0.061827152967453
Fx,16,0.0343603529036045
Fx,32,0.0298556257039308
Fx,48,0.0268398020416498
Fx,80,0.0289401486515998
Fx,160,0.0309011042118072
Fx,320,0.0292102992534637
Fx,426,0.0278764590620994
Fx,640,0.0300682429224252
Fx,854,0.0271876789629459
Fx,1280,0.0305490400642156
Fx,1920,0.0388918407261371
Fy,8,0.0600382126867771
Fy,16,0.0385115109384059
Fy,32,0.0360107384622097
Fy,48,0.0324511379003524
Fy,80,0.031716164201498
Fy,160,0.0344149656593799
Fy,320,0.0318701080977916
Fy,426,0.0329475365579128
Fy,640,0.0326343365013599
Fy,854,0.0355092696845531
Fy,1280,0.0342707447707653
Fy,1920,0.0411551892757415
Fz,8,0.1194968149065971
Fz,16,0.0808086618781089
Fz,32,0.0622253827750682
Fz,48,0.0609112158417701
Fz,80,0.0573203340172767
Fz,160,0.0687620416283607
Fz,320,0.0732839927077293
Fz,426,0.064329482614994
Fz,640,0.0641305893659591
Fz,854,0.065885491669178
Fz,1280,0.0626089498400688
Fz,1920,0.0678211450576782
