sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r1,1920,1080,cycle,0,0.05040920153260231,0.06554318964481354,0.4162634313106537,0.9827828407287598,0.013905247673392296,0.0807502269744873,0.9697481989860535,719,214,67,1.9910300970077515,0.0003135146398562938,0.00037942046765238047,0.00011629683285718784,30,30,24,0.15796778105479123,0.2016620995285355,64,4,16,336.4
hard_1mm_r1,1920,1080,random,0,0.02585751563310623,0.032567549496889114,0.27715277671813965,0.9933081269264221,0.019035518169403076,0.11736390739679337,0.9708629846572876,719,214,67,1.968150019645691,0.00033321528462693095,0.00039465713780373335,9.049897926161066e-05,30,30,28,0.1403820939952707,0.21255478123638116,64,4,16,335.7
hard_1mm_r1,1280,720,cycle,0,0.03762774169445038,0.04674162343144417,0.4162634313106537,0.991243839263916,0.012564082629978657,0.0807502269744873,0.9757373929023743,719,214,67,1.9910300970077515,0.0004256223910488188,0.00026714953128248453,0.00013188384764362127,30,30,29,0.11977649692534074,0.2048622013252472,64,11,6,148.4
hard_1mm_r1,1280,720,random,0,0.027208475396037102,0.03460783138871193,0.27715277671813965,0.9924433827400208,0.014338756911456585,0.11736390739679337,0.9839939475059509,719,214,67,1.968150019645691,0.0003700207744259387,0.00034442637115716934,9.49228196986951e-05,30,30,29,0.10745158646468161,0.2067347531006715,64,11,6,147.1
hard_1mm_r1,854,480,cycle,0,0.03100874461233616,0.038299717009067535,0.4162634313106537,0.9941210746765137,0.02474597841501236,0.0807502269744873,0.9306806325912476,719,214,67,1.9910300970077515,0.0005440954701043665,0.00040894714766182005,0.00013332825619727373,30,30,28,0.18679327261796083,0.21034063802701292,64,24,3,69.3
hard_1mm_r1,854,480,random,0,0.02131490781903267,0.02815508097410202,0.27715277671813965,0.994998574256897,0.0198568906635046,0.11736390739679337,0.9703942537307739,719,214,67,1.968150019645691,0.0006449700449593365,0.0003640807408373803,8.717854507267475e-05,30,30,30,0.15715637376145958,0.22441051385113012,64,24,3,68.1
hard_1mm_r1,640,360,cycle,0,0.0592598021030426,0.06821850687265396,0.4162634313106537,0.9813486337661743,0.029419070109725,0.0807502269744873,0.8964415788650513,719,214,67,1.9910300970077515,0.000720614509191364,0.00039876464870758355,0.00011735397129086778,30,30,27,0.16034236106819502,0.22321894012878987,64,44,1,39.0
hard_1mm_r1,640,360,random,0,0.03751666471362114,0.04396578669548035,0.27715277671813965,0.9878042936325073,0.01825944520533085,0.11736390739679337,0.9778965711593628,719,214,67,1.968150019645691,0.00043403575546108186,0.00038886783295311034,9.17486468097195e-05,30,30,30,0.1377411654662025,0.22005419864832798,64,44,1,38.4
hard_1mm_r1,426,240,cycle,0,0.03378511592745781,0.044038888067007065,0.4162634313106537,0.9922271966934204,0.025043856352567673,0.0807502269744873,0.9243141412734985,719,214,67,1.9910300970077515,0.0005539279081858695,0.0004965088446624577,0.00011797781917266548,30,30,28,0.1751570164411224,0.21940725540446343,64,64,1,19.2
hard_1mm_r1,426,240,random,0,0.020339271053671837,0.025796471163630486,0.27715277671813965,0.9958014488220215,0.023161176592111588,0.11736390739679337,0.9572857022285461,719,214,67,1.968150019645691,0.0005660593160428107,0.00042322700028307736,8.857993816491216e-05,30,30,30,0.13418620816523907,0.2366869026255385,64,64,1,17.6
