sensor,scale_source,downscale,px_per_mm,zero_shift_mm,zero_shift_source,grey_levels_used,mm_per_grey_level,ball_deepest_mm,cyl4_raw_bias,cyl4_raw_mae,cyl4_raw_bias_deep,cyl4_raw_mae_deep,cyl4_raw_slope,cyl4_raw_rms_after_linear,cyl4_raw_size,cyl4_raw_size_err,cyl4_raw_flat,cyl4_corrected_bias,cyl4_corrected_mae,cyl4_corrected_bias_deep,cyl4_corrected_mae_deep,cyl4_corrected_slope,cyl4_corrected_rms_after_linear,cyl4_corrected_size,cyl4_corrected_size_err,cyl4_corrected_flat,cube4_raw_bias,cube4_raw_mae,cube4_raw_bias_deep,cube4_raw_mae_deep,cube4_raw_slope,cube4_raw_rms_after_linear,cube4_raw_size,cube4_raw_size_err,cube4_raw_flat,cube4_raw_squareness,cube4_raw_angle_deg,cube4_corrected_bias,cube4_corrected_mae,cube4_corrected_bias_deep,cube4_corrected_mae_deep,cube4_corrected_slope,cube4_corrected_rms_after_linear,cube4_corrected_size,cube4_corrected_size_err,cube4_corrected_flat,cube4_corrected_squareness,cube4_corrected_angle_deg,width_px,height_px,error
hard_1mm_r1,own,1.0,93.82314012650215,0.13593813563648638,own,18,0.039898885903692616,0.7181799462664671,-0.09379222555147332,0.09379222555147332,-0.10068076501522415,0.10068076501522415,0.9050226778931014,0.015903077676901547,3.9365487168368154,-0.0634512831631846,0.024740795087483194,-0.025462790709602064,0.027754339600687725,-0.014390297484735174,0.01782762082136367,1.0421240466909876,0.020787185064442545,4.08029244892718,0.0802924489271799,0.024889978683657117,-0.1640959752529204,0.1640959752529204,-0.18613513091515974,0.18613513091515974,0.8414589468737684,0.026947797828320234,4.133167443846698,0.13316744384669832,0.031204288825392723,0.8991520075762548,79.55217742919922,-0.10874784344726207,0.10874784344726207,-0.10766999700974897,0.10766999700974897,1.0374715609092189,0.022987982691893897,4.270411228755135,0.270411228755135,0.03252123792966207,0.9173693498230101,79.90647888183594,1920,1080,
hard_1mm_r1,own,1.5,62.54876008433481,0.13593813563648638,own,17,0.04224587919214512,0.7181799462664671,-0.07986884937372528,0.07986884937372528,-0.0809607247534787,0.0809607247534787,0.9578350318962936,0.01634955968532124,3.9660313744050657,-0.0339686255949343,0.021980462802781,-0.007470296081768696,0.021514861393654487,0.008338508255939162,0.012728339711889525,1.0862912783983563,0.021203983296711526,4.123602838734197,0.12360283873419675,0.022003213978475995,-0.15488074951568895,0.15488074951568895,-0.17206534834515527,0.17206534834515527,0.8920603647738786,0.02817606817625715,4.120994838663267,0.12099483866326732,0.0281325230995814,0.9022381769960225,77.36663818359375,-0.09595351734893671,0.09595351734893671,-0.08904870504450277,0.08904870504450277,1.0890684251641278,0.02171546142867148,4.254815201186066,0.2548152011860658,0.028681735197703045,0.9140742464825186,77.19573211669922,1280,720,
hard_1mm_r1,own,2.2491216083990837,41.715458949009474,0.13593813563648638,own,17,0.04224587919214512,0.7181799462664671,-0.06890503566152575,0.06890503566152575,-0.06667168339325936,0.06667168339325936,0.9888560249210768,0.016090437680948262,3.982004286243578,-0.01799571375642195,0.02021685956666867,0.007906610553264063,0.026274828326782778,0.02563607916003513,0.02563607916003513,1.1075016345719313,0.020922055886363703,4.149534601639939,0.1495346016399388,0.02021736165301667,-0.14666772849931967,0.14666772849931967,-0.15965531298827604,0.15965531298827604,0.9331708877038719,0.028832845810006984,4.0859801494477495,0.08598014944774945,0.026504800965388615,0.9052186580934808,77.90524291992188,-0.08398114857648464,0.08398114857648464,-0.07217090109300092,0.07217090109300092,1.1306233894046314,0.020178723733919456,4.252671669964154,0.2526716699641538,0.026688648387789726,0.9212629387597598,78.48616790771484,854,480,
hard_1mm_r1,own,3.0,31.274380042167376,0.13593813563648638,own,17,0.04224587919214512,0.7181799462664671,-0.06660814170062597,0.06660814170062597,-0.06276114434236241,0.06276114434236241,1.0041390388743232,0.016110121359988804,3.9746266238656167,-0.025373376134383285,0.019549313518736098,0.016061014385487744,0.030409411088008265,0.03442907308306344,0.03442907308306344,1.1162993528549598,0.02094299477001221,4.152766001129075,0.15276600112907524,0.019549307309918933,-0.1442859217330158,0.1442859217330158,-0.15541964301776365,0.15541964301776365,0.9507137252444849,0.029560497603916505,4.04300400766293,0.043004007662929666,0.02572391430536906,0.9054592417184212,78.36637115478516,-0.07637570424700432,0.07637570424700432,-0.061839188429827247,0.061839188429827247,1.1515744352843023,0.01830963352547174,4.228225634465924,0.22822563446592437,0.02578204373518626,0.9246437384802536,78.69007110595703,640,360,
hard_1mm_r1,own,4.503519750244809,20.83329158740826,0.13593813563648638,own,17,0.04224587919214512,0.7181799462664671,-0.05468360821674323,0.05468360821674323,-0.04840746671193791,0.04840746671193791,1.0299105285414552,0.015434471946997517,3.974467306492863,-0.02553269350713716,0.019682869936029117,0.03528543581710866,0.04111759622815036,0.05378986124958642,0.05378986124958642,1.12682216084766,0.019876963440496734,4.15888832215151,0.15888832215151005,0.019682873868279986,-0.13487781474440944,0.13487781474440944,-0.14161125661742166,0.14161125661742166,0.98645373487618,0.027754131441446783,4.006461885587844,0.006461885587843774,0.025558309629559517,0.9057880632146432,77.7352294921875,-0.06076897004382961,0.06076897004382961,-0.04116907248210386,0.04116907248210386,1.1881758245082374,0.014501829815622532,4.224785138006344,0.22478513800634392,0.025559265166521072,0.9277729902055606,78.69007110595703,426,240,
hard_1mm_r1,own,6.0,15.637190021083686,0.13593813563648638,own,17,0.04224587919214512,0.7181799462664671,-0.051992203840150325,0.051992203840150325,-0.044409574570595745,0.044409574570595745,1.0377988635734405,0.016758585449587242,3.952545455657028,-0.04745454434297214,0.01892674176229371,0.04080452044950536,0.046126558233005724,0.060401181129277226,0.060401181129277226,1.1332075388685743,0.0212441271855676,4.135342379227222,0.1353423792272217,0.018926739899648562,-0.1311268617262874,0.1311268617262874,-0.13759437853407339,0.13759437853407339,0.9844554317683648,0.02818642612268414,3.9966848787575593,-0.0033151212424407106,0.024566806231935818,0.9126313363492095,77.47119140625,-0.056054729490972094,0.056054729490972094,-0.03422668108653501,0.03422668108653501,1.2027401247946294,0.013127015053732575,4.192864590600727,0.1928645906007267,0.024566868940989178,0.9256369679872587,78.11134338378906,320,180,
hard_1mm_r1,own,12.0,7.818595010541846,0.13593813563648638,own,16,0.04488624664165419,0.7181799462664671,-0.038047859452036245,0.038047859452036245,-0.028664375595589004,0.028664375595589004,1.058388764164555,0.01504480748161027,3.8149885775354915,-0.18501142246450852,0.01736368601106935,0.05615347395486246,0.058074498946901504,0.07779018059140491,0.07779018059140491,1.1585375380583045,0.020604606343401107,3.995859537651452,-0.004140462348547924,0.017363688598076504,-0.11624903913661493,0.11624903913661493,-0.1175592979223676,0.1175592979223676,1.0284621376761278,0.024828943863851066,3.897541767396721,-0.1024582326032788,0.016549550307293732,0.901874451274462,78.69007110595703,-0.03674602569465491,0.04253947347452975,-0.011804862859959159,0.020495034529771416,1.2278218065546156,0.012232257826025135,4.091738244581873,0.0917382445818733,0.016549569244186085,0.9140192408464868,78.69007110595703,160,90,
hard_1mm_r1,own,24.0,3.909297505270923,0.13593813563648638,own,16,0.04488624664165419,0.7181799462664671,-0.03709645632094863,0.03709645632094863,-0.03287049532169056,0.03287049532169056,0.9921146477894323,0.015372379260842974,3.5036592176911716,-0.4963407823088284,0.014895104803144932,0.04777593392610494,0.049252011094530326,0.06312212571269321,0.06312212571269321,1.0835591535277718,0.02268423223252173,3.7012830099292326,-0.29871699007076735,0.01497721920410792,-0.11597382213994516,0.11597382213994516,-0.12014346102189497,0.12014346102189497,0.9818640974893326,0.016847064704963773,3.6664728928938355,-0.3335271071061645,0.013158295303583145,0.953968253968254,90.0,-0.0453839755189881,0.0453839755189881,-0.024745996090883765,0.024745996090883765,1.1679187672411495,0.012137761616260848,3.8370065158191298,-0.16299348418087023,0.013224944782753786,0.9569444444444445,90.0,80,45,
hard_1mm_r1,own,40.0,2.345578503162554,0.13593813563648638,own,15,0.04787866308443114,0.7181799462664671,-0.1299640523958874,0.1299640523958874,-0.15808177516096786,0.15808177516096786,0.7093271914751912,0.010661779613448526,3.411146416102588,-0.588853583897412,0.023124118852946494,-0.0734224472677051,0.0734224472677051,-0.08696171169712098,0.08696171169712098,0.8248233450984146,0.014664935124343309,3.4478017716280793,-0.5521982283719207,0.026489429589774873,-0.17806931025112324,0.17806931025112324,-0.21034821586620286,0.21034821586620286,0.7320745656025264,0.019571572662320125,3.5527838109436387,-0.4472161890563613,0.020574172337849934,0.9259259259259259,90.0,-0.13498714689239513,0.13498714689239513,-0.1436828179092355,0.1436828179092355,0.9378744108553296,0.008199512911218778,3.6009360773058443,-0.3990639226941557,0.02433510000507037,0.9373219107203772,90.0,48,27,
hard_1mm_r1,own,60.0,1.5637190021083691,0.13593813563648638,own,14,0.05129856759046193,0.7181799462664671,-0.20501926852451488,0.20501926852451488,-0.2614093915893034,0.2614093915893034,0.4287338489926478,0.006931824446779816,3.7720557270132127,-0.22794427298678732,0.01331369351181719,-0.17973450629541707,0.17973450629541707,-0.22243076712125495,0.22243076712125495,0.5644547876545774,0.010581180738364896,3.381849547165137,-0.6181504528348629,0.01882872585621145,-0.2311089116342331,0.2311089116342331,-0.2857207776786037,0.2857207776786037,0.4695351309509485,0.010060050610412772,3.8392249388997803,-0.16077506110021966,0.013207160867750645,0.9629629685131659,90.0,-0.2174899950506752,0.2174899950506752,-0.251719555798287,0.251719555798287,0.6701878080898653,0.01027457165318397,3.517255972834203,-0.482744027165797,0.018269163866837818,0.9444444444444443,90.0,32,18,
