sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r1,1920,1080,cycle,0,0.0686522051692009,0.10752055794000626,0.39566218852996826,0.9493601322174072,0.036671340465545654,0.1923907846212387,0.9551969170570374,0.03955632075667381,0.060669220983982086,122,69,none,colour,609,179,191,2.008579969406128,0.0005439722444862127,0.0006042225286364555,0.0001471998548367992,30,30,30,0.13302978168567414,0.2160157514684027,64,4,16,473.6
hard_1mm_r1,1280,720,cycle,0,0.07213722169399261,0.11330443620681763,0.39566218852996826,0.94376540184021,0.03874637931585312,0.1923907846212387,0.943930447101593,0.04903462156653404,0.06877990812063217,122,69,none,colour,609,179,191,2.008579969406128,0.000578001665417105,0.0008708242676220834,0.00012011430226266384,30,30,29,0.14875658656575996,0.22549769298990346,64,11,6,205.6
hard_1mm_r1,854,480,cycle,0,0.06652608513832092,0.10341566801071167,0.39566218852996826,0.9531529545783997,0.035036925226449966,0.1923907846212387,0.9581072330474854,0.041006896644830704,0.05611289665102959,122,69,none,colour,609,179,191,2.008579969406128,0.0006798178656026721,0.0006242779782041907,0.00012491947563830763,30,30,29,0.1340264487149093,0.21019983691210187,64,24,3,93.6
hard_1mm_r1,640,360,cycle,0,0.06240703910589218,0.09984384477138519,0.39566218852996826,0.9563331007957458,0.029349256306886673,0.1923907846212387,0.9646957516670227,0.03871879726648331,0.043512873351573944,122,69,none,colour,609,179,191,2.008579969406128,0.0004920153296552598,0.0006225373945198953,0.00013544362445827574,30,30,28,0.13145381750535887,0.19821202255494103,64,44,1,52.0
hard_1mm_r1,426,240,cycle,0,0.07033829391002655,0.11137287318706512,0.39566218852996826,0.9456663727760315,0.03931502252817154,0.1923907846212387,0.9321184754371643,0.05200337618589401,0.05408152937889099,122,69,none,colour,609,179,191,2.008579969406128,0.0006323253037407994,0.0006338643725030124,0.00013975331967230886,30,30,22,0.19362193688578988,0.22773385713886282,64,64,1,24.7
hard_1mm_r1,320,180,cycle,0,0.07344897836446762,0.11359741538763046,0.39566218852996826,0.9434742331504822,0.03113403171300888,0.1923907846212387,0.960782527923584,0.04109610989689827,0.07068273425102234,122,69,none,colour,609,179,191,2.008579969406128,0.0005521163111552596,0.0006255997577682137,0.0001441907079424709,30,30,27,0.1431427714468419,0.22047651280237976,64,64,1,14.7
hard_1mm_r1,160,90,cycle,0,0.08691290766000748,0.12411660701036453,0.39566218852996826,0.932520866394043,0.02746663987636566,0.1923907846212387,0.9726012945175171,0.02933858335018158,0.06981675326824188,122,69,none,colour,609,179,191,2.008579969406128,0.0006380853010341525,0.000696107221301645,0.0001641604321775958,30,30,26,0.17602441815907144,0.2403505527773383,64,64,1,5.4
hard_1mm_r1,80,45,cycle,0,0.08504996448755264,0.12951679527759552,0.39566218852996826,0.9265212416648865,0.03266771510243416,0.1923907846212387,0.9549045562744141,0.036916643381118774,0.09375154227018356,122,69,none,colour,609,179,191,2.008579969406128,0.0005059704999439418,0.0008007324649952352,0.00015599705511704087,30,30,25,0.23915174716016147,0.21612935092862093,64,64,1,3.5
hard_1mm_r1,48,27,cycle,0,0.07743606716394424,0.12258734554052353,0.39566218852996826,0.9341734647750854,0.033366184681653976,0.1923907846212387,0.9574902653694153,0.046074818819761276,0.054855410009622574,122,69,none,colour,609,179,191,2.008579969406128,0.0008887604926712811,0.0006019340944476426,0.00014245389320421964,30,30,30,0.2221090774035023,0.2194979843480627,64,64,1,3.3
hard_1mm_r1,32,18,cycle,0,0.07859428226947784,0.13057956099510193,0.39566218852996826,0.9253103733062744,0.05680414289236069,0.1923907846212387,0.8894845843315125,0.07787647843360901,0.05875833332538605,122,69,none,colour,609,179,191,2.008579969406128,0.0009411067585460842,0.0009085868950933218,0.0001370032987324521,30,30,21,0.2927698987262394,0.23797834385706726,64,64,1,4.0
hard_1mm_r1,16,9,cycle,0,0.07460670918226242,0.12361179292201996,0.39566218852996826,0.9330686330795288,0.03941662237048149,0.1923907846212387,0.9443929195404053,0.04463915526866913,0.07292389869689941,122,69,none,colour,609,179,191,2.008579969406128,0.0008296968298964202,0.0006013576057739556,0.0001363132323604077,30,30,30,0.2675318600508967,0.22528973904401897,64,64,1,4.4
hard_1mm_r1,8,5,cycle,0,0.14176349341869354,0.19968542456626892,0.39566218852996826,0.8253363370895386,0.05635101720690727,0.1923907846212387,0.8561623096466064,0.07471668720245361,0.11451539397239685,122,69,none,colour,609,179,191,2.008579969406128,0.0011516640661284328,0.0014380875509232283,0.00014904749696142972,30,30,30,0.4321844370298589,0.2904796813453376,64,64,1,4.4
hard_1mm_r2,1920,1080,cycle,0,0.0947539433836937,0.14794960618019104,0.44984352588653564,0.9064213037490845,0.05779039114713669,0.1854095458984375,0.8591791391372681,0.08878561854362488,0.06343559920787811,72,66,none,colour,662,154,138,2.0088400840759277,0.001232747221365571,0.0009093914995901287,0.00013849081005901098,30,30,29,0.16903080194738337,0.28674621570419956,64,4,16,494.0
hard_1mm_r2,1280,720,cycle,0,0.09965554624795914,0.14946410059928894,0.44984352588653564,0.9044956564903259,0.06082267314195633,0.1854095458984375,0.841732919216156,0.09390149265527725,0.05917852744460106,72,66,none,colour,662,154,138,2.0088400840759277,0.0014815793838351965,0.0009428029297851026,0.00017438667418900877,30,30,20,0.23621397184101117,0.2860235146113804,64,11,6,215.1
hard_1mm_r2,854,480,cycle,0,0.09692026674747467,0.1461915820837021,0.44984352588653564,0.9086319804191589,0.055405084043741226,0.1854095458984375,0.879973292350769,0.08065111190080643,0.06319153308868408,72,66,none,colour,662,154,138,2.0088400840759277,0.0012365207076072693,0.0008237420697696507,0.00014877137436997145,30,30,28,0.1656237086140497,0.26964920062523384,64,24,3,98.6
hard_1mm_r2,640,360,cycle,0,0.09591259807348251,0.1382814645767212,0.44984352588653564,0.9182519316673279,0.053269580006599426,0.1854095458984375,0.8923815488815308,0.06977634876966476,0.06519551575183868,72,66,none,colour,662,154,138,2.0088400840759277,0.0010710146743804216,0.0012111302930861712,0.00014291521802078933,30,30,27,0.17649034376951142,0.2820297557038146,64,44,1,54.2
hard_1mm_r2,426,240,cycle,0,0.09105341136455536,0.14043115079402924,0.44984352588653564,0.915690541267395,0.045585665851831436,0.1854095458984375,0.9094215035438538,0.07375283539295197,0.05917875096201897,72,66,none,colour,662,154,138,2.0088400840759277,0.0009315157658420503,0.0009286963031627238,0.0001414771395502612,30,30,27,0.16305229599022072,0.285232890735973,64,64,1,25.2
hard_1mm_r2,320,180,cycle,0,0.10635580867528915,0.14914579689502716,0.44984352588653564,0.9049019813537598,0.04644860699772835,0.1854095458984375,0.9093446731567383,0.06705648452043533,0.08008518815040588,72,66,none,colour,662,154,138,2.0088400840759277,0.0010761506855487823,0.0006518534501083195,0.00014122585707809776,30,30,30,0.2000741598469253,0.2765239244931704,64,64,1,14.7
hard_1mm_r2,160,90,cycle,0,0.0975198745727539,0.1504334658384323,0.44984352588653564,0.9032527804374695,0.05179048702120781,0.1854095458984375,0.8976814150810242,0.0689459890127182,0.06476657092571259,72,66,none,colour,662,154,138,2.0088400840759277,0.0012405040906742215,0.0008734159637242556,0.00016307627083733678,30,30,30,0.21980190349129392,0.2983852361703848,64,64,1,4.8
hard_1mm_r2,80,45,cycle,0,0.10529138147830963,0.15158221125602722,0.44984352588653564,0.9017695784568787,0.046246010810136795,0.1854095458984375,0.8971588015556335,0.06586192548274994,0.0727405697107315,72,66,none,colour,662,154,138,2.0088400840759277,0.001241039833985269,0.000739102833904326,0.00014662789180874825,30,30,25,0.2711814479885505,0.2680241225601791,64,64,1,3.2
hard_1mm_r2,48,27,cycle,0,0.09190186858177185,0.14411011338233948,0.44984352588653564,0.9112152457237244,0.042491838335990906,0.1854095458984375,0.904772162437439,0.06657551229000092,0.06552214920520782,72,66,none,colour,662,154,138,2.0088400840759277,0.0011280387407168746,0.0006540353060699999,0.00014553999062627554,30,30,26,0.2586229567801484,0.2540988178996297,64,64,1,3.0
