principle,unit,hardness,thickness_mm,rep,metric,value
9DTact,soft_1mm_r1,soft,1,1,천장 (N),27.848915900572194
9DTact,soft_1mm_r1,soft,1,1,포화 깊이 (mm),4.527912557169966
9DTact,soft_1mm_r2,soft,1,2,천장 (N),26.799817552457977
9DTact,soft_1mm_r2,soft,1,2,포화 깊이 (mm),4.285544924573017
9DTact,soft_2mm_r1,soft,2,1,천장 (N),30.238843978677988
9DTact,soft_2mm_r1,soft,2,1,포화 깊이 (mm),5.4744673004455215
9DTact,soft_2mm_r2,soft,2,2,천장 (N),24.610286158155468
9DTact,soft_2mm_r2,soft,2,2,포화 깊이 (mm),5.076735382551469
9DTact,soft_3mm_r1,soft,3,1,천장 (N),30.97387494840487
9DTact,soft_3mm_r1,soft,3,1,포화 깊이 (mm),6.053670937241272
9DTact,soft_3mm_r2,soft,3,2,천장 (N),30.639473352105316
9DTact,soft_3mm_r2,soft,3,2,포화 깊이 (mm),6.293003450833041
9DTact,medium_1mm_r1,medium,1,1,천장 (N),31.00153968042581
9DTact,medium_1mm_r1,medium,1,1,포화 깊이 (mm),4.711342525137244
9DTact,medium_1mm_r2,medium,1,2,천장 (N),38.59624895100679
9DTact,medium_1mm_r2,medium,1,2,포화 깊이 (mm),5.224188125932638
9DTact,medium_2mm_r2,medium,2,2,천장 (N),30.207202253506903
9DTact,medium_2mm_r2,medium,2,2,포화 깊이 (mm),5.246948058025978
9DTact,medium_3mm_r1,medium,3,1,천장 (N),38.477407292298594
9DTact,medium_3mm_r1,medium,3,1,포화 깊이 (mm),6.6054929903992985
9DTact,medium_3mm_r2,medium,3,2,천장 (N),34.182887472624984
9DTact,medium_3mm_r2,medium,3,2,포화 깊이 (mm),6.192190817531621
9DTact,hard_1mm_r1,hard,1,1,천장 (N),27.510294207386806
9DTact,hard_1mm_r1,hard,1,1,포화 깊이 (mm),4.318176562097701
9DTact,hard_1mm_r2,hard,1,2,천장 (N),34.13547167662337
9DTact,hard_1mm_r2,hard,1,2,포화 깊이 (mm),4.736293115039093
9DTact,hard_2mm_r1,hard,2,1,천장 (N),43.32170674399263
9DTact,hard_2mm_r1,hard,2,1,포화 깊이 (mm),5.292425101276052
9DTact,hard_2mm_r2,hard,2,2,천장 (N),43.81170816849713
9DTact,hard_2mm_r2,hard,2,2,포화 깊이 (mm),5.452331049836349
9DTact,hard_3mm_r1,hard,3,1,천장 (N),63.159778301454
9DTact,hard_3mm_r1,hard,3,1,포화 깊이 (mm),6.788935798770929
9DTact,hard_3mm_r2,hard,3,2,천장 (N),60.32792947150917
9DTact,hard_3mm_r2,hard,3,2,포화 깊이 (mm),6.669807342949163
9DTact,hard_1mm_r1,hard,1,1,분해 가능한 최소 간격 (mm),1.25
9DTact,hard_1mm_r1,hard,1,1,골 깊이 best_dip,0.69
9DTact,hard_1mm_r2,hard,1,2,분해 가능한 최소 간격 (mm),1.1
9DTact,hard_1mm_r2,hard,1,2,골 깊이 best_dip,0.418
9DTact,hard_2mm_r1,hard,2,1,분해 가능한 최소 간격 (mm),1.25
9DTact,hard_2mm_r1,hard,2,1,골 깊이 best_dip,0.676
9DTact,hard_2mm_r2,hard,2,2,분해 가능한 최소 간격 (mm),1.5
9DTact,hard_2mm_r2,hard,2,2,골 깊이 best_dip,0.593
9DTact,hard_3mm_r1,hard,3,1,분해 가능한 최소 간격 (mm),2.5
9DTact,hard_3mm_r1,hard,3,1,골 깊이 best_dip,0.628
9DTact,hard_3mm_r2,hard,3,2,분해 가능한 최소 간격 (mm),2.5
9DTact,hard_3mm_r2,hard,3,2,골 깊이 best_dip,0.593
9DTact,medium_1mm_r1,medium,1,1,분해 가능한 최소 간격 (mm),1.1
9DTact,medium_1mm_r1,medium,1,1,골 깊이 best_dip,0.693
9DTact,medium_1mm_r2,medium,1,2,분해 가능한 최소 간격 (mm),1.1
9DTact,medium_1mm_r2,medium,1,2,골 깊이 best_dip,0.274
