width_px,density_px_per_mm2,resolved_pct,contact_lost_pct,median_dip,median_imprint_lvl,median_dip_sd,rayleigh,imprint_floor
8,0.1359291827311094,0.0,98.0392156862745,-0.0335103834250387,4.308005809783936,0.0026781657668615,0.265,2.5
16,0.5437167309244376,0.0,86.27450980392157,-0.0717918643067625,4.0596923828125,0.0100070751351181,0.265,2.5
32,2.1748669236977505,9.803921568627452,66.66666666666666,0.1963404162335562,5.179340839385986,0.0086998219183905,0.265,2.5
48,4.893450578319937,15.686274509803921,60.78431372549019,0.20075566648423865,4.927189111709595,0.0097940697386838,0.265,2.5
80,13.592918273110941,29.411764705882355,50.98039215686274,0.3181074783111763,5.215374946594238,0.0108437587510211,0.265,2.5
160,54.371673092443764,37.254901960784316,43.13725490196079,0.3573997066551313,5.056982040405273,0.0116979842987357,0.265,2.5
320,217.48669236977506,58.82352941176471,11.76470588235294,0.3846265011609541,4.07061243057251,0.0211858794795223,0.265,2.5
426,385.43569320798133,70.58823529411765,0.0,0.4641511800555756,3.77918553352356,0.025755188437657,0.265,2.5
640,869.9467694791002,64.70588235294117,0.0,0.476540531829579,3.6893601417541504,0.0392357254373496,0.265,2.5
854,1548.989497386278,68.62745098039215,0.0,0.4633706736884161,3.808087348937988,0.0439382615265556,0.265,2.5
1280,3479.787077916401,64.70588235294117,0.0,0.5031917459181994,3.752471923828125,0.0582978114081463,0.265,2.5
1920,7829.520925311901,39.21568627450981,0.0,0.3836520166498836,2.146500825881958,0.107550042398743,0.265,2.5
