principle,cell,n_metrics,votes_r1_far,votes_r2_far,suggest_drop,margin
DIGIT_Marker,medium_1mm,2,2,0,r1,1.0
DIGIT_Marker,soft_1mm,2,2,0,r1,1.0
DIGIT_Marker,medium_3mm,3,3,0,r1,1.0
9DTact,soft_1mm,9,1,8,r2,0.7777777777777778
DIGIT,soft_2mm,5,4,1,r1,0.6
DIGIT,hard_1mm,10,2,8,r2,0.6
9DTact,hard_2mm,4,3,1,r1,0.5
DIGIT_Marker,hard_3mm,4,1,3,r2,0.5
9DTact,medium_3mm,7,5,2,r1,0.42857142857142855
DIGIT,medium_1mm,7,5,2,r1,0.42857142857142855
9DTact,soft_3mm,9,6,3,r1,0.3333333333333333
DIGIT,hard_2mm,9,3,6,r2,0.3333333333333333
DIGIT_Marker,soft_3mm,3,1,2,r2,0.3333333333333333
DIGIT_Marker,soft_2mm,3,2,1,r1,0.3333333333333333
DIGIT_Marker,hard_1mm,3,2,1,r1,0.3333333333333333
DIGIT_Marker,medium_2mm,3,1,2,r2,0.3333333333333333
DIGIT,soft_3mm,10,6,4,r1,0.2
DIGIT,hard_3mm,10,6,4,r1,0.2
DIGIT,soft_1mm,7,4,3,r1,0.14285714285714285
9DTact,soft_2mm,7,3,4,r2,0.14285714285714285
9DTact,hard_3mm,9,4,5,r2,0.1111111111111111
DIGIT,medium_3mm,9,4,5,r2,0.1111111111111111
DIGIT,medium_2mm,6,3,3,동률,0.0
DIGIT_Marker,hard_2mm,2,1,1,동률,0.0
