principle,metric,cell,observed,expected,residual,remount_spread,z
9DTact,밝기 기울기 ball8 (lvl/mm),hard_1mm,4.799222613106607,1.5578788179200744,3.2413437951865323,0.2580317512925743,12.561802099739548
9DTact,천장 (N),hard_3mm,61.74385388648159,46.94881653808324,14.795037348398346,1.7815921624046087,8.304390679643278
DIGIT,밝기 기울기 ball8 (lvl/mm),hard_1mm,18.41963647151876,15.888907215212898,2.5307292563058628,0.32157435089676145,7.869810665087312
9DTact,Fz 최솟값 (N),soft_2mm,0.03485593944787975,0.04941636044532055,-0.014560420997440805,0.0018779411911964503,-7.753395615207872
9DTact,분해 가능한 최소 간격 (mm),soft_3mm,1.625,2.525,-0.8999999999999999,0.125,-7.199999999999999
9DTact,천장 (N),hard_1mm,30.822882942005087,43.46650911434324,-12.643626172338152,1.7815921624046087,-7.096812861633324
DIGIT_Marker,포화 깊이 (mm),medium_1mm,1.5895028217518465,1.137620923741391,0.45188189801045553,0.06446393288070773,7.00984066309878
9DTact,Fz 최솟값 (N),hard_3mm,0.0421559307724237,0.02964254189282649,0.012513388879597208,0.0018779411911964503,6.663355028505889
DIGIT_Marker,포화 깊이 (mm),hard_3mm,2.575153780608346,2.1641142959691066,0.41103948463923956,0.06446393288070773,6.376270672158327
DIGIT,밝기 기울기 ball8 (lvl/mm),medium_3mm,8.854399428349865,10.891939573765045,-2.0375401454151802,0.32157435089676145,-6.336140117310893
9DTact,자국 지름 기울기 ball8 (px/mm),soft_1mm,308.27873620966153,225.49740306998842,82.78133313967311,13.081335454440875,6.328201996499551
DIGIT_Marker,밝기 기울기 ball4 (lvl/mm),soft_2mm,10.009710372657958,13.203074625476614,-3.1933642528186557,0.5120106704793361,-6.236909574226411
9DTact,자국 지름 기울기 ball8 (px/mm),hard_3mm,499.674258249096,418.57523347550176,81.09902477359424,13.081335454440875,6.199598279246222
DIGIT,자국 지름 기울기 ball8 (px/mm),hard_1mm,612.2424840968679,472.6165852954164,139.62589880145146,24.15016441549278,5.781571354929527
9DTact,Fz MAE 중앙 (N),soft_2mm,0.04470529220998285,0.05800493713468305,-0.013299644924700198,0.0023753796704113535,-5.59895543873079
DIGIT_Marker,Fz 최솟값 (N),medium_1mm,0.12250722944736475,0.1053178962320089,0.017189333215355845,0.0031574070453644007,5.444129619141963
9DTact,골 깊이 best_dip,soft_1mm,0.839,0.6219999999999998,0.2170000000000002,0.04575000000000001,4.743169398907106
9DTact,골 깊이 best_dip,soft_3mm,0.46399999999999997,0.6784999999999999,-0.2144999999999999,0.04575000000000001,-4.688524590163931
9DTact,Fz MAE 중앙 (N),hard_3mm,0.05295028723776335,0.04210643656551838,0.01084385067224497,0.0023753796704113535,4.5651020791834505
DIGIT_Marker,Fy MAE 중앙 (N),medium_1mm,0.0548528833314776,0.037339705973863546,0.017513177357614054,0.003864453174173825,4.531864294450448
DIGIT_Marker,Fz MAE 중앙 (N),medium_1mm,0.1501487456262111,0.1306168287992477,0.019531916826963425,0.0044096317142248015,4.429375987104871
DIGIT_Marker,밝기 기울기 ball4 (lvl/mm),soft_1mm,12.023622210728558,10.009710372657958,2.0139118380706,0.5120106704793361,3.93333958486687
DIGIT,천장 (N),soft_1mm,22.930874380295478,18.00819848420487,4.922675896090613,1.2523221063785943,3.9308384568294286
DIGIT_Marker,Fz 최솟값 (N),medium_2mm,0.06478178128600115,0.0768211837857961,-0.012039402499794946,0.0031574070453644007,-3.8130663315871147
DIGIT_Marker,자국 지름 기울기 ball4 (px/mm),hard_1mm,464.02090754633457,387.8768261873764,76.14408135895815,19.998746501904506,3.807442699056506
9DTact,포화 깊이 (mm),medium_1mm,4.967765325534941,4.401804821038175,0.5659605044967666,0.16002488762275036,3.5367030272877713
DIGIT_Marker,Fz MAE 중앙 (N),medium_2mm,0.08128464780747888,0.09658253751695149,-0.015297889709472615,0.0044096317142248015,-3.4691989492283333
DIGIT,Fy MAE 중앙 (N),soft_3mm,0.05012453533709042,0.0321620600298047,0.017962475307285723,0.005196508020162572,3.4566434300863005
DIGIT,밝기 기울기 ball4 (lvl/mm),hard_1mm,12.592146483890259,10.89198081491415,1.7001656689761084,0.5244522136387686,3.2417932935776412
DIGIT_Marker,밝기 기울기 ball4 (lvl/mm),medium_3mm,4.555599336992657,6.183357206821299,-1.627757869828642,0.5120106704793361,-3.179148333578207
DIGIT_Marker,Fx MAE 중앙 (N),medium_1mm,0.042534753680229145,0.029184814076870645,0.0133499396033585,0.004296811763197199,3.106940759588917
DIGIT,포화 깊이 (mm),medium_3mm,2.113971018477976,1.9140008452552415,0.19997017322273436,0.06503399349332806,3.0748561249471726
DIGIT_Marker,자국 지름 기울기 ball4 (px/mm),soft_3mm,193.2236545974522,132.66461699999314,60.55903759745905,19.998746501904506,3.0281416683636615
9DTact,Fx MAE 중앙 (N),soft_2mm,0.025555043015628998,0.0338127706199884,-0.008257727604359402,0.0028353584930300626,-2.9124104146472907
DIGIT,자국 지름 기울기 ball4 (px/mm),hard_2mm,258.0758820336184,202.3544456087342,55.72143642488422,19.21103048784883,2.9004918013184446
DIGIT_Marker,포화 깊이 (mm),soft_3mm,2.17733351949858,2.3496946029360686,-0.17236108343748846,0.06446393288070773,-2.673759972982836
DIGIT,자국 지름 기울기 ball8 (px/mm),soft_1mm,380.99729997653697,444.28577468193504,-63.28847470539807,24.15016441549278,-2.6206229331009165
