width_px,lo,hi,fz_share,fx_mae,fy_mae,fz_mae,principle,density_px_per_mm2
8,0.10168841643818581,0.164001554250717,0.6899794832243068,0.0359735488891601,0.0404283367097377,0.0828201249241828,9DTact,0.13648472575547244
16,0.08295682709047111,0.1274988707154987,0.6747558006542158,0.0298150684684515,0.0296521577984094,0.0679261609911918,9DTact,0.5459389030218897
32,0.07010361373917146,0.1131003536283969,0.6955696976279785,0.024713609367609,0.028681518509984,0.0584669895470142,9DTact,2.183755612087559
48,0.06557442978859392,0.1095756348222493,0.7019978277193898,0.0246032159775495,0.0265412889420986,0.0509831011295318,9DTact,4.913450127197007
80,0.059717677097309754,0.0976577326655386,0.6612922089060899,0.0233812313526868,0.0237204935401678,0.0485623404383659,9DTact,13.648472575547242
160,0.07021657587021712,0.11759935505688171,0.6342381538157127,0.0270174480974674,0.0272623058408498,0.0524741038680076,9DTact,54.59389030218897
320,0.06484875435839883,0.10486812144517879,0.557453789436949,0.0284765865653753,0.0265167746692895,0.0473864451050758,9DTact,218.37556120875587
426,0.06727627466705417,0.113687703385949,0.5478081548802435,0.0293292682617902,0.0262086708098649,0.0502798371016979,9DTact,387.01097017500166
640,0.057780551926429315,0.09589611366391179,0.5668946988648338,0.0265915859490633,0.0282064117491245,0.0471390560269355,9DTact,873.5022448350235
854,0.06695530409983637,0.1111401896923779,0.5111882366297004,0.0314804464578628,0.0297374334186315,0.0506737753748893,9DTact,1555.3202226418462
1280,0.06491807659082317,0.10658937692642201,0.6337924031782729,0.0298707094043493,0.0268583614379167,0.0476368144154548,9DTact,3494.008979340094
1920,0.07072805768987028,0.1164696291089056,0.5272548837596466,0.0313747487962245,0.0287690628319978,0.0566780753433704,9DTact,7861.5202035152115
8,0.15629909019899288,0.2532581984996795,0.7107956810720307,0.061827152967453,0.0601708889007568,0.1235092282295227,DIGIT,0.1832714063117097
16,0.10581541143267734,0.17094675078988059,0.6632770401055043,0.0355636626482009,0.0421793647110462,0.0846065506339073,DIGIT,0.7330856252468388
32,0.08697548684849916,0.1447618231177329,0.6850532194058832,0.0301769580692052,0.0374363847076892,0.0652498304843902,DIGIT,2.9323425009873554
48,0.08008200504571907,0.12524634972214682,0.7375544179282854,0.027690639719367,0.0336483716964721,0.0609112158417701,DIGIT,6.597770627221551
80,0.07256584064711681,0.120237562805414,0.661623139264396,0.029021430760622,0.0337706692516803,0.0571331344544887,DIGIT,18.327140631170973
160,0.08466401516548597,0.13447454199194891,0.6756841844186807,0.0322900936007499,0.0354304686188697,0.0672488734126091,DIGIT,73.3085625246839
320,0.0880036015172193,0.1404071934521196,0.6581736443581906,0.0311093255877494,0.0365522019565105,0.0723726600408554,DIGIT,293.2342500987356
426,0.07783795531119024,0.12950000539422019,0.6306477231752987,0.0275304913520813,0.0334657616913318,0.0608136467635631,DIGIT,519.6775270597474
640,0.0853342908163783,0.1340930573642253,0.6616111902010126,0.0298928599804639,0.0324968174099922,0.0690834894776344,DIGIT,1172.9370003949423
854,0.0873143116202641,0.1457804292440413,0.6043585524584978,0.0314252339303493,0.0382227711379528,0.065885491669178,DIGIT,2088.480765087983
1280,0.08372730966899893,0.13657548651099188,0.6639644032599155,0.0341647081077098,0.0370759293437004,0.0683902502059936,DIGIT,4691.748001579769
1920,0.08970447909887379,0.1503530703485011,0.5809738842029598,0.0349966660141944,0.0435348749160766,0.0678211450576782,DIGIT,10556.43300355448
8,0.17199657369541854,0.2770729325711727,0.6892323818281553,0.0626962482929229,0.0767328143119812,0.1531037837266922,DIGIT_Marker,0.22572001000000003
16,0.11583647315271209,0.19395058602094628,0.7531058185933144,0.0468612313270568,0.0579147413372993,0.10597924888134,DIGIT_Marker,0.9028800400000001
32,0.12288401070071243,0.18134972825646378,0.7771489106679842,0.0401299446821212,0.0423224978148937,0.1168259233236312,DIGIT_Marker,3.6115201600000004
48,0.12247225994792035,0.166091203689575,0.7854346360489565,0.0333463586866855,0.0370490960776805,0.1175327897071838,DIGIT_Marker,8.12592036
80,0.11231006872135457,0.1519791446626185,0.7957616494613867,0.028431486338377,0.0368698649108409,0.090156115591526,DIGIT_Marker,22.572001000000004
160,0.11047669701880833,0.1538158673793076,0.7937262747858888,0.0319609530270099,0.0346565581858158,0.1048342734575271,DIGIT_Marker,90.28800400000002
320,0.0949482988652207,0.1520493887364863,0.790087208007523,0.0357891470193862,0.0355577319860458,0.0791659206151962,DIGIT_Marker,361.15201600000006
426,0.12946605795692753,0.1944988463073968,0.7858487328688023,0.0371232107281684,0.038806278258562,0.1114101260900497,DIGIT_Marker,640.0431958556251
640,0.10753996934888439,0.17063774913549412,0.7193546233671562,0.0348180904984474,0.0370540358126163,0.0912097841501236,DIGIT_Marker,1444.6080640000002
854,0.12038056950400217,0.1661379784345625,0.8027620882346056,0.0321051254868507,0.0357354432344436,0.1055187955498695,DIGIT_Marker,2572.2064814556247
1280,0.10503762905342294,0.1700545921921729,0.8156824740228805,0.0284853614866733,0.0360680259764194,0.0870189219713211,DIGIT_Marker,5778.432256000001
1920,0.10447269658720205,0.1642502620816229,0.8161429563181,0.0261653587222099,0.0348123423755168,0.0897338613867759,DIGIT_Marker,13001.472576000004
